task,baseline,wilcoxon_p,cliffs_delta,proposed_ap_mean,baseline_ap_mean
T1_anomaly,tabnet__full,0.0625,0.6666666666666666,0.11522078115707056,0.04924039895052987
T1_anomaly,graphsage__full,0.03125,0.9444444444444444,0.11522078115707056,0.015248574137355267
T1_anomaly,xgboost__full,0.09375,0.7222222222222222,0.11522078115707056,0.047057858230966816
T1_anomaly,catboost__full,0.15625,0.6111111111111112,0.11522078115707056,0.05283478460721717
T1_anomaly,lightgbm__full,0.0625,0.6111111111111112,0.11522078115707056,0.05701072813907551
T1_anomaly,gradient_boosting__full,0.21875,0.5,0.11522078115707056,0.07303862111515218
T1_anomaly,balanced_rf__full,0.03125,0.6666666666666666,0.11522078115707056,0.046742684204501
T1_anomaly,random_forest__full,0.6875,0.3888888888888889,0.11522078115707056,0.07583814878524626
T1_anomaly,logistic__full,0.03125,0.5555555555555556,0.11522078115707056,0.06312452036722811
T1_anomaly,isolation_forest__full,0.03125,0.6666666666666666,0.11522078115707056,0.05749706820671099
T1_anomaly,ewma__full,0.0625,0.7777777777777778,0.11522078115707056,0.0402854466225632
T1_anomaly,threshold__full,0.03125,0.7777777777777778,0.11522078115707056,0.03151748622276997
T1_anomaly,mlp_sequence__full,0.03125,1.0,0.11522078115707056,0.008416412012029958
T1_anomaly,gnn_graphsage_proxy__full,0.0625,0.7777777777777778,0.11522078115707056,0.03352102969592826
T1_anomaly,majority__full,0.03125,1.0,0.11522078115707056,0.009814139308667709
T2_failure,logistic__full,0.84375,-0.5,0.015253811512895054,0.038043099063649714
T2_failure,random_forest__full,0.6875,-0.3333333333333333,0.015253811512895054,0.017610244849363122
