version,task,method,ap_mean,ci_lo,ci_hi
v2,T1_anomaly,ecn_proposed__full,0.05771284608153401,0.02143727948527227,0.09398841267779574
v3,T1_anomaly,ecn_proposed__full,0.09987388175137697,0.0657345487482214,0.13401321475453254
v2,T1_anomaly,random_forest__full,0.07583814878524626,0.04266747055156454,0.10900882701892799
v3,T1_anomaly,random_forest__full,0.07583814878524626,0.04266747055156454,0.10900882701892799
v2,T1_anomaly,logistic__full,0.06312452036722811,0.023472299982702123,0.10277674075175411
v3,T1_anomaly,logistic__full,0.06312452036722811,0.023472299982702123,0.10277674075175411
v2,T1_anomaly,lightgbm__full,0.05050032409727945,0.023423259579410317,0.07757738861514858
v3,T1_anomaly,lightgbm__full,0.05701072813907551,0.026171410005884937,0.08785004627226609
v2,T2_failure,ecn_proposed__full,0.0381064340665632,-0.0026241781121923435,0.07883704624531875
v3,T2_failure,ecn_proposed__full,0.013974939365520694,0.0027825986247242574,0.02516728010631713
v2,T2_failure,random_forest__full,0.017610244849363122,0.009894205430147136,0.025326284268579108
v3,T2_failure,random_forest__full,0.017610244849363122,0.009894205430147136,0.025326284268579108
v2,T2_failure,logistic__full,0.038043099063649714,-0.002744734845844518,0.07883093297314395
v3,T2_failure,logistic__full,0.038043099063649714,-0.002744734845844518,0.07883093297314395
v2,T2_failure,lightgbm__full,0.0206835973096917,0.005077788458262478,0.036289406161120925
v3,T2_failure,lightgbm__full,0.021289411217529686,-0.004099180118587252,0.046678002553646625
