task,method,metric,mean,std,ci95_lo,ci95_hi,n
T1_anomaly,ecn_proposed__full,ap,0.11055333114528722,0.06571248378883883,0.041592308671192624,0.1795143536193818,6
T1_anomaly,ecn_proposed__full,roc_auc,0.7539937642312621,0.10381895704821985,0.6450424506080298,0.8629450778544944,6
T1_anomaly,ecn_proposed__full,f1,0.13209996867343213,0.09884023275543746,0.028373505764261564,0.2358264315826027,6
T1_anomaly,ecn_proposed__full,precision,0.2523238264500113,0.21457356282889664,0.027142682237906862,0.4775049706621157,6
T1_anomaly,ecn_proposed__full,recall,0.25809468524251805,0.2975853417632281,-0.05420197831444046,0.5703913487994765,6
T1_anomaly,ecn_proposed__full,brier,0.15430845896178283,0.06279095471062524,0.08841339322535804,0.22020352469820761,6
T1_anomaly,ecn_proposed__full,train_time_s,2.2173035999876447,0.08753168388137952,2.1254447313024163,2.309162468672873,6
T1_anomaly,ecn_proposed__full,precision_at_10,0.1666666666666667,0.12110601416389967,0.03957369919732248,0.2937596341360109,6
T1_anomaly,ecn_proposed__full,precision_at_50,0.06,0.03577708763999663,0.02245424913890541,0.09754575086109459,6
T1_anomaly,ecn_proposed__full,precision_at_100,0.04999999999999999,0.034641016151377546,0.01364648304853195,0.08635351695146803,6
T1_anomaly,ecn_proposed__full,precision_at_top1pct,0.14035087719298245,0.09216789850220138,0.04362659965045658,0.23707515473550833,6
T1_anomaly,ecn_proposed__full,fpr_at_recall_0_5,0.1922592845274489,0.13126570186165362,0.054504378697868894,0.3300141903570289,6
T1_anomaly,ecn_proposed__full,fpr_at_recall_0_8,0.4286129742832991,0.23403579925313336,0.18300746553551886,0.6742184830310793,6
T1_anomaly,ecn_proposed__full,peak_rss_delta_mb,4.916015625,6.993229125452292,-2.4229282572082624,12.254959507208262,6
T1_anomaly,tabnet__full,ap,0.04924039895052987,0.026635378199975454,0.021288283785367065,0.07719251411569267,6
T1_anomaly,tabnet__full,roc_auc,0.6300244718325128,0.15397272233636364,0.46844000944092423,0.7916089342241013,6
T1_anomaly,tabnet__full,f1,0.05314025934956912,0.031576161829049855,0.02000310975504102,0.08627740894409722,6
T1_anomaly,tabnet__full,precision,0.0769474584144237,0.12643509376825243,-0.05573803511957111,0.20963295194841852,6
T1_anomaly,tabnet__full,recall,0.2543035489049421,0.2504767345437768,-0.008555663290062965,0.5171627610999472,6
T1_anomaly,tabnet__full,brier,0.19319670835083072,0.07523918092379726,0.11423803037281578,0.27215538632884567,6
T1_anomaly,tabnet__full,train_time_s,16.183461600002676,4.125149979632902,11.854382191459713,20.51254100854564,6
T1_anomaly,tabnet__full,precision_at_10,0.08333333333333333,0.040824829046386304,0.04049030273939474,0.1261763639272719,6
T1_anomaly,tabnet__full,precision_at_50,0.030000000000000002,0.016733200530681513,0.01243958299357642,0.047560417006423585,6
T1_anomaly,tabnet__full,precision_at_100,0.02,0.010954451150103323,0.008504008547582017,0.031495991452417986,6
T1_anomaly,tabnet__full,precision_at_top1pct,0.043859649122807015,0.021486752129677003,0.02131068565231302,0.06640861259330101,6
T1_anomaly,tabnet__full,fpr_at_recall_0_5,0.35478620116734816,0.25189180271958894,0.09044196599576326,0.619130436338933,6
T1_anomaly,tabnet__full,fpr_at_recall_0_8,0.598128570849864,0.2615777654417035,0.3236195411909881,0.87263760050874,6
T1_anomaly,tabnet__full,peak_rss_delta_mb,33.419921875,27.478474879914174,4.583031006031533,62.25681274396847,6
T1_anomaly,graphsage__full,ap,0.015248574137355267,0.008901038972293118,0.005907506607727741,0.02458964166698279,6
T1_anomaly,graphsage__full,roc_auc,0.5652939090574819,0.16302692542977928,0.3942076432488065,0.7363801748661573,6
T1_anomaly,graphsage__full,f1,0.022246223107624623,0.01553912067750765,0.005938916056003454,0.03855353015924579,6
T1_anomaly,graphsage__full,precision,0.011644605280888851,0.008523355482111118,0.0026998922664586214,0.02058931829531908,6
T1_anomaly,graphsage__full,recall,0.6481481481481481,0.441191801557233,0.1851457475640711,1.1111505487322253,6
T1_anomaly,graphsage__full,brier,0.2538463523898853,0.035732266851300654,0.2163476380618565,0.29134506671791405,6
