task,baseline,pvalue,cliffs_delta,proposed_ap,baseline_ap
T1_anomaly,lightgbm__full,0.03125,0.6666666666666666,0.09987388175137697,0.05701072813907551
T1_anomaly,random_forest__full,0.3125,0.4444444444444444,0.09987388175137697,0.07583814878524626
T1_anomaly,logistic__full,0.03125,0.5,0.09987388175137697,0.06312452036722811
T1_anomaly,isolation_forest__full,0.03125,0.6666666666666666,0.09987388175137697,0.05749706820671099
T1_anomaly,ewma__full,0.03125,0.8333333333333334,0.09987388175137697,0.0402854466225632
T1_anomaly,threshold__full,0.03125,0.8888888888888888,0.09987388175137697,0.03151748622276997
T1_anomaly,mlp_sequence__full,0.03125,1.0,0.09987388175137697,0.008416412012029958
T1_anomaly,gnn_graphsage_proxy__full,0.03125,0.9444444444444444,0.09987388175137697,0.03352102969592826
T1_anomaly,majority__full,0.03125,1.0,0.09987388175137697,0.009814139308667709
T2_failure,lightgbm__full,0.84375,-0.16666666666666666,0.013974939365520694,0.021289411217529686
T2_failure,random_forest__full,0.5625,-0.3888888888888889,0.013974939365520694,0.017610244849363122
T2_failure,logistic__full,0.5625,-0.5555555555555556,0.013974939365520694,0.038043099063649714
T2_failure,isolation_forest__full,0.4375,-0.16666666666666666,0.013974939365520694,0.021636703949635936
T2_failure,ewma__full,0.15625,0.5,0.013974939365520694,0.006561739982228431
T2_failure,mlp_sequence__full,0.03125,0.8333333333333334,0.013974939365520694,0.005437249533379553
T2_failure,gnn_graphsage_proxy__full,0.84375,-0.05555555555555555,0.013974939365520694,0.010636317086987849
T2_failure,majority__full,0.03125,1.0,0.013974939365520694,0.005558450581900296
